condition_family,condition,icd_10_cm_code,icd_10_cm_description,condition_column_name
Cancer,Breast Cancer,C50011,"Malignant neoplasm of nipple and areola, right female breast",breast_cancer
Cancer,Breast Cancer,C50012,"Malignant neoplasm of nipple and areola, left female breast",breast_cancer
Cancer,Breast Cancer,C50019,"Malignant neoplasm of nipple and areola, unspecified female breast",breast_cancer
Cancer,Breast Cancer,C50021,"Malignant neoplasm of nipple and areola, right male breast",breast_cancer
Cancer,Breast Cancer,C50022,"Malignant neoplasm of nipple and areola, left male breast",breast_cancer
Cancer,Breast Cancer,C50029,"Malignant neoplasm of nipple and areola, unspecified male breast",breast_cancer
Cancer,Breast Cancer,C50111,Malignant neoplasm of central portion of right female breast,breast_cancer
Cancer,Breast Cancer,C50112,Malignant neoplasm of central portion of left female breast,breast_cancer
Cancer,Breast Cancer,C50119,Malignant neoplasm of central portion of unspecified female breast,breast_cancer
Cancer,Breast Cancer,C50121,Malignant neoplasm of central portion of right male breast,breast_cancer
Cancer,Breast Cancer,C50122,Malignant neoplasm of central portion of left male breast,breast_cancer
Cancer,Breast Cancer,C50129,Malignant neoplasm of central portion of unspecified male breast,breast_cancer
Cancer,Breast Cancer,C50211,Malignant neoplasm of upper-inner quadrant of right female breast,breast_cancer
Cancer,Breast Cancer,C50212,Malignant neoplasm of upper-inner quadrant of left female breast,breast_cancer
Cancer,Breast Cancer,C50219,Malignant neoplasm of upper-inner quadrant of unspecified female breast,breast_cancer
Cancer,Breast Cancer,C50221,Malignant neoplasm of upper-inner quadrant of right male breast,breast_cancer
Cancer,Breast Cancer,C50222,Malignant neoplasm of upper-inner quadrant of left male breast,breast_cancer
Cancer,Breast Cancer,C50229,Malignant neoplasm of upper-inner quadrant of unspecified male breast,breast_cancer
Cancer,Breast Cancer,C50311,Malignant neoplasm of lower-inner quadrant of right female breast,breast_cancer
Cancer,Breast Cancer,C50312,Malignant neoplasm of lower-inner quadrant of left female breast,breast_cancer
Cancer,Breast Cancer,C50319,Malignant neoplasm of lower-inner quadrant of unspecified female breast,breast_cancer
Cancer,Breast Cancer,C50321,Malignant neoplasm of lower-inner quadrant of right male breast,breast_cancer
